Start Date,2019-01-01,,,,
End Date,2020-12-31,,,,
,,,,,
,PNW UN Equity,,,,
,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Dates,PX_OPEN,PX_LAST,PX_HIGH,PX_LOW,PX_VOLUME
#NAME?,85.33,85.2,85.73,84.285,472854
2019-01-02,85.05,82.87,85.05,82.41,579050
2019-01-03,83.02,83.71,84.17,82.93,521447
2019-01-04,83.11,84.74,84.74,83.02,619444
2019-01-07,84.31,84.58,85.05,83.7,367173
2019-01-08,84.4,85.85,85.85,84.4,402364
2019-01-09,85.37,84.66,85.85,84.17,492874
2019-01-10,84.93,86.07,86.3,84.77,346603
2019-01-11,85.58,84.77,85.6,84.41,454289
2019-01-14,84.24,82.47,84.24,81.66,487615
2019-01-15,82.42,84.21,84.63,82.42,422493
2019-01-16,83.82,84.77,84.85,83.65,365459
2019-01-17,84.97,85.55,85.725,84.87,357138
2019-01-18,85.53,85.67,86.09,85.06,438466
2019-01-21,85.53,85.67,86.09,85.06,438466
2019-01-22,85.89,85.73,86.2,84.82,446175
2019-01-23,85.8,87.19,87.21,85.73,382296
2019-01-24,87.28,87.98,88.06,86.34,405570
2019-01-25,87.67,86.94,88.02,86.67,411431
2019-01-28,86.9,86.76,87.42,86.4,389187
2019-01-29,87.14,87.36,87.57,86.82,319211
2019-01-30,86.94,87.62,88.16,86.75,261440
2019-01-31,86.84,88.12,88.42,86.02,710203
2019-02-01,87.95,87.65,87.98,86.71,403346
2019-02-04,87.32,87.53,87.55,86.56,291731
2019-02-05,87.55,87.57,87.72,86.85,337478
2019-02-06,87.53,87.69,88.07,86.82,358364
2019-02-07,87.98,89.18,89.19,87.51,269118
2019-02-08,88.9,89.38,89.5,88.87,239233
2019-02-11,89.21,89.63,89.82,89.16,197685
2019-02-12,89.89,89.77,90.35,89.09,277415
2019-02-13,89.43,89.51,89.69,89.03,244484
2019-02-14,89.51,89.54,89.89,89.12,234561
2019-02-15,89.87,89.96,90.18,89.51,387510
2019-02-18,89.87,89.96,90.18,89.51,387510
2019-02-19,90.17,90.65,90.79,89.57,270845
2019-02-20,90.57,90.93,91.07,90.08,291633
2019-02-21,90.5,91.97,92.21,90.27,459116
2019-02-22,92.8,93.22,93.47,91.48,339243
2019-02-25,93.23,93.68,93.87,92.27,441937
2019-02-26,94.02,93.08,94.02,92.91,446780
2019-02-27,92.74,92.96,93.23,92.61,256647
2019-02-28,92.99,93.74,93.93,92.58,366321
2019-03-01,93.53,92.78,93.77,92.325,440451
2019-03-04,93.21,93,93.49,92.05,399913
2019-03-05,92.73,92.15,93,91.91,355903
2019-03-06,92.41,92.77,92.93,92,305535
2019-03-07,93.12,92.75,93.59,92.63,373063
2019-03-08,93.16,93.16,93.2,92.39,335775
2019-03-11,93.3,94.12,94.16,92.915,320520
2019-03-12,94.41,94.94,94.97,94.2,294372
2019-03-13,94.98,95.38,95.61,94.82,374977
2019-03-14,95.5,95.15,95.84,94.8,310936
2019-03-15,95.19,96.15,96.41,95,1553035
2019-03-18,96,95.28,96.12,94.89,357861
2019-03-19,95.2,94.33,95.2,94.02,328746
2019-03-20,94.65,94.73,95.54,94.34,264321
2019-03-21,94.83,95.83,96.06,94.55,212772
2019-03-22,96.25,96.72,97.27,96.2,394980
2019-03-25,96.92,96.47,96.95,96.31,294687
2019-03-26,96.37,96.84,97.02,96.28,229346
2019-03-27,97.1,96.45,97.17,95.94,217631
2019-03-28,96.55,95.08,96.74,94.83,288596
2019-03-29,95.06,95.58,95.63,94.78,470323
2019-04-01,95.41,94.88,95.41,93.92,505366
2019-04-02,95.21,94.53,95.21,94.44,350714
2019-04-03,94.43,94.12,94.63,93.61,305862
2019-04-04,94.6,93.66,94.6,93.15,218801
2019-04-05,93.74,94.64,94.7,93.35,221580
2019-04-08,94.58,93.89,94.64,93.63,293452
2019-04-09,94.13,94.28,94.35,93.8,229839
2019-04-10,94.63,94.12,95.31,93.97,244575
2019-04-11,94.2,95.26,95.295,94.2,268397
2019-04-12,94.92,95.31,95.57,94.3,269498
2019-04-15,96.05,95.82,96.3,95.59,189229
2019-04-16,95.67,94.22,95.93,94.1,293567
2019-04-17,94.2,94.36,94.83,93.73,173845
2019-04-18,94.48,94.07,94.8,93.92,308899
2019-04-19,94.48,94.07,94.8,93.92,308899
2019-04-22,94.1,93.58,94.18,93.22,194325
2019-04-23,93.86,94.5,94.62,93.57,276938
2019-04-24,94.94,94.8,95.79,94.38,300943
2019-04-25,94.41,95.14,95.68,94.33,206041
2019-04-26,95.78,95.09,96.09,94.98,335967
2019-04-29,94.96,94.37,94.96,93.78,207571
2019-04-30,93.41,95.27,95.28,93.29,344839
2019-05-01,94.56,94.08,95.04,93.86,408108
2019-05-02,93.76,93.07,94.1,92.55,347680
2019-05-03,93.2,94.12,94.275,93.2,236925
2019-05-06,94.39,93.47,94.39,93.36,191883
2019-05-07,93.47,93.35,94.1,92.94,231023
2019-05-08,93.08,92.18,93.08,91.97,220878
2019-05-09,92.41,92.57,93.12,92.08,230171
2019-05-10,92.7,94.72,94.72,92.47,198436
2019-05-13,94.61,96.31,96.48,94.61,316949
2019-05-14,96.21,94.98,96.27,94.78,269756
2019-05-15,95.3,95.19,95.71,94.68,175119
2019-05-16,95,95.82,96.1,94.93,222551
2019-05-17,95.38,96.06,96.67,95.3,303899
2019-05-20,96.4,96.59,96.94,96.04,232897
2019-05-21,96.67,96.04,97.18,95.98,227543
2019-05-22,96.34,96.43,96.46,95.73,293722
2019-05-23,96.57,97.32,97.36,96.57,236042
2019-05-24,97.34,96.67,97.9,96.52,155953
2019-05-27,97.34,96.67,97.9,96.52,155953
2019-05-28,96.89,95.4,96.89,94.97,487203
2019-05-29,95.73,93.91,95.79,93.9,260126
2019-05-30,93.99,93,94.35,92.83,254360
2019-05-31,93.2,93.91,94.07,92.96,471436
2019-06-03,94.31,95.4,95.4,93.92,333268
2019-06-04,95.53,95.24,95.53,93.36,261589
2019-06-05,95.81,97.79,97.93,95.46,400304
2019-06-06,97.85,98.76,99.08,97.63,347924
2019-06-07,99.27,97.68,99.81,97.68,286315
2019-06-10,97.16,97.27,97.63,96.78,182157
2019-06-11,97.16,96.39,97.3,95.65,371456
2019-06-12,95.43,96.49,96.73,95.43,345109
2019-06-13,96.45,96.67,97.09,96.16,473259
2019-06-14,96.65,97.48,97.74,96.65,219417
2019-06-17,97.6,97.02,97.96,96.5,174886
2019-06-18,97.64,96.83,97.64,96.21,449567
2019-06-19,96.71,97.94,98.25,96.71,231683
2019-06-20,98.33,98.56,98.94,97.45,377832
2019-06-21,98.13,97.62,98.22,96.88,904120
2019-06-24,97.9,96.98,98.08,96.78,790293
2019-06-25,97.17,96.64,97.3,96.35,380583
2019-06-26,96.49,94.48,96.81,94.48,403744
2019-06-27,94.91,93.74,95.29,93.48,321503
2019-06-28,93.7,94.09,94.82,93.47,635967
2019-07-01,94.09,93.92,94.215,92.92,216790
2019-07-02,94.28,94.99,95.08,94.09,242295
2019-07-03,95.19,95.63,96.25,95.19,183478
2019-07-04,95.19,95.63,96.25,95.19,183478
2019-07-05,94.7,95.29,95.57,93.92,247329
2019-07-08,95.45,95.36,95.63,94.59,294607
2019-07-09,95.12,95.52,95.63,94.81,340672
2019-07-10,96.06,95.46,96.29,95.37,181700
2019-07-11,95.34,94.71,95.74,94.07,311267
2019-07-12,94.63,93.51,94.63,93.27,304415
2019-07-15,93.67,93.77,94.335,93.16,315933
2019-07-16,93.5,93.3,93.88,92.64,379412
2019-07-17,93.84,94.05,94.35,93.71,285527
2019-07-18,94.3,95.15,95.23,93.35,235872
2019-07-19,94.93,93.59,95.39,93.49,334694
2019-07-22,93.8,93.36,93.89,92.69,290899
2019-07-23,93.23,92.84,93.31,92.6,421112
2019-07-24,93.26,91.8,93.26,91.28,481435
2019-07-25,91.45,91.06,91.91,90.56,409350
2019-07-26,91.25,92.02,92.09,90.81,213224
2019-07-29,92.41,93.12,93.17,91.87,263218
2019-07-30,93.27,91.93,93.28,91.43,387625
2019-07-31,91.35,91.22,92.36,90.84,372081
2019-08-01,91.04,91.97,92.59,90.65,270838
2019-08-02,92.02,92.49,93.17,91.91,374732
2019-08-05,92.71,91.55,93.325,91.1,559511
2019-08-06,91.46,93.02,93.32,90.5,340346
2019-08-07,93.23,93.01,93.67,91.73,363162
2019-08-08,91.21,92.78,94.41,91.21,398035
2019-08-09,91.36,92.44,92.93,91.36,428481
2019-08-12,92.84,91.84,92.84,91.09,384997
2019-08-13,91.5,92.97,93.06,91.5,584673
2019-08-14,93.27,91.8,93.47,91.49,447673
2019-08-15,91.75,93.78,93.99,91.75,337745
2019-08-16,93.84,94.12,94.6,93.66,523285
2019-08-19,94.17,94.96,95.31,93.81,402340
2019-08-20,95.34,94.77,95.55,94.45,307448
2019-08-21,94.46,95.73,95.74,94.44,253707
2019-08-22,95.53,94.89,95.66,94.23,442852
2019-08-23,95.14,94.14,95.38,93.61,350181
2019-08-26,94.19,94.99,95,94.1,243905
2019-08-27,95.47,94.5,95.55,94.49,477071
2019-08-28,94.52,94.75,94.94,94.05,304641
2019-08-29,95.23,95.28,95.34,94.58,248284
2019-08-30,95.64,95.31,95.76,95.1,399958
2019-09-02,95.64,95.31,95.76,95.1,399958
2019-09-03,95.25,95.58,95.67,94.96,437902
2019-09-04,95.88,95.92,96.07,95.15,366988
2019-09-05,95.42,94.31,95.53,94.11,445620
2019-09-06,94.49,93.81,94.9,93.31,620312
2019-09-09,93.55,92.45,93.67,91.9,372152
2019-09-10,92.4,91.99,92.4,91.18,291855
2019-09-11,91.88,93.15,93.19,91.74,336475
2019-09-12,93.9,93.28,94.03,92.77,333964
2019-09-13,92.93,93.08,93.93,92.69,450485
2019-09-16,93.43,93.49,93.76,92.8,340358
2019-09-17,93.83,94.36,94.63,93.83,350096
2019-09-18,94.85,95.88,95.93,94.17,333029
2019-09-19,96.39,96.26,96.53,95.88,276830
2019-09-20,96.88,97.17,97.46,96.52,690299
2019-09-23,97.32,97.39,98.14,97.06,471285
2019-09-24,97.63,97.87,98.58,97.26,358616
2019-09-25,97.63,97.78,97.89,97.115,365421
2019-09-26,98.01,97.67,98.34,97.49,282503
2019-09-27,97.54,97.41,97.84,96.78,231257
2019-09-30,97.44,97.07,97.98,96.96,305061
2019-10-01,96.81,97.31,97.39,96.35,308976
2019-10-02,97.24,95.59,97.42,95.58,350539
2019-10-03,95.8,95.73,96.04,95.24,260971
2019-10-04,95.79,97.23,97.41,95.79,219913
2019-10-07,97.25,97.44,97.51,96.7,381447
2019-10-08,97.38,95.58,97.38,95.48,373664
2019-10-09,95.58,95.41,95.81,94.87,257670
2019-10-10,95.13,95.37,95.84,94.5,251483
2019-10-11,95.16,95.46,95.9,94.43,558319
2019-10-14,95.59,94.53,95.81,94.25,198372
2019-10-15,94.55,93.66,94.82,93.56,236563
2019-10-16,93.61,93.83,93.9,93.23,452449
2019-10-17,93.79,93.69,94.08,93.44,197864
2019-10-18,93.7,93.91,94.16,93.14,238706
2019-10-21,93.5,93.99,94.11,93.45,222023
2019-10-22,94.32,94.53,94.68,94.08,204537
2019-10-23,94.79,94.15,94.87,93.9,273589
2019-10-24,94.56,95.09,95.68,94.26,357072
2019-10-25,95.06,94.2,95.06,93.9,184823
2019-10-28,93.75,92.23,93.99,92.06,257079
2019-10-29,92.16,93.08,93.26,92.16,212523
2019-10-30,93.11,93.84,94.21,93.11,210793
2019-10-31,94.16,94.12,94.42,93.36,387817
2019-11-01,93.31,93.49,93.85,93.08,415100
2019-11-04,93.39,91.72,93.39,91.37,276705
2019-11-05,91.28,90.78,91.79,90.71,683718
2019-11-06,90.98,91.17,91.88,90.98,560319
2019-11-07,87,87.82,89.01,85.51,901743
2019-11-08,87.18,86.39,87.55,86.08,567076
2019-11-11,86.36,85.13,86.52,85,282717
2019-11-12,85.02,85.61,85.64,84.26,534951
2019-11-13,85.86,85.94,86.7,85.41,606412
2019-11-14,86.13,86.99,87.06,85.97,398756
2019-11-15,86.99,87.61,87.63,86.8,544271
2019-11-18,87.68,86.8,88.58,86.66,364645
2019-11-19,86.54,86.75,87.08,86.3,304449
2019-11-20,87.12,87.28,87.49,86.64,314783
2019-11-21,87.2,87.27,87.52,86.66,332081
2019-11-22,87.57,87.2,87.57,86.73,184323
2019-11-25,87.26,86.6,87.6,86.59,374412
2019-11-26,86.57,87.5,87.73,86.5,1084794
2019-11-27,87.59,87.39,87.81,87.08,249861
2019-11-28,87.59,87.39,87.81,87.08,249861
2019-11-29,87.7,87.39,88.05,87.35,202202
2019-12-02,87.07,85.75,87.15,85.7,301661
2019-12-03,85.45,86.08,86.34,85.41,356085
2019-12-04,85.99,86.94,87.16,85.99,295812
2019-12-05,86.79,86.59,86.82,86.24,536996
2019-12-06,86.49,86.2,86.88,86.12,375451
2019-12-09,86.37,85.55,86.37,85.32,271077
2019-12-10,85.55,85.21,85.77,85.1,265302
2019-12-11,85.37,85.44,85.91,84.88,284640
2019-12-12,85.39,85.74,86.36,85.21,553640
2019-12-13,85.66,86.14,86.34,85.33,267414
2019-12-16,86.2,87.6,87.62,85.98,525805
2019-12-17,87.66,87.6,88.19,87.26,317643
2019-12-18,87.85,88.57,88.66,87.16,309699
2019-12-19,88.57,89.25,89.26,88.25,436924
2019-12-20,89.5,90.19,90.675,89.33,1251115
2019-12-23,90.34,88.98,90.34,88.76,312187
2019-12-24,89.09,88.86,89.24,88.65,75064
2019-12-25,89.09,88.86,89.24,88.65,75064
2019-12-26,88.93,88.95,89.31,88.56,190386
2019-12-27,89.1,88.85,89.15,88.69,259693
2019-12-30,88.63,89.25,89.25,88.63,183369
2019-12-31,89.33,89.93,89.975,89.28,395969
2020-01-01,89.33,89.93,89.975,89.28,395969
2020-01-02,90.13,88.71,90.25,88.4,324582
2020-01-03,88.55,88.99,89.27,88.55,453863
2020-01-06,89.09,88.9,89.37,88.8,544621
2020-01-07,88.39,88.68,88.71,88.1,341270
2020-01-08,88.81,88.51,89.09,88.47,417824
2020-01-09,88.51,89.89,89.91,88.37,290498
2020-01-10,89.94,90.56,90.59,89.88,351444
2020-01-13,90.53,91.23,91.91,90.53,424445
2020-01-14,91.16,92.04,92.04,91.01,309476
2020-01-15,92.2,92.64,92.91,92.13,359817
2020-01-16,92.86,93.24,93.44,92.81,537914
2020-01-17,93.33,93.34,93.7,92.52,423935
2020-01-20,93.33,93.34,93.7,92.52,423935
2020-01-21,93.67,94.38,94.59,93.24,237951
2020-01-22,94.72,94.56,95.21,94.52,236888
2020-01-23,94.57,95.84,95.92,94.49,273426
2020-01-24,95.6,97.12,97.19,95.57,313217
2020-01-27,97.28,97.67,98.05,96.97,434599
2020-01-28,97.86,97.05,98.32,97.05,320948
2020-01-29,96.99,98.05,98.1,96.9,299429
2020-01-30,97.71,98.78,98.8,97.37,299957
2020-01-31,98.05,97.69,98.64,97.46,1184654
2020-02-03,97.93,98.24,98.59,97.52,332542
2020-02-04,98.05,97.62,98.57,97.62,401442
2020-02-05,97.39,98.17,98.23,97.1,340970
2020-02-06,98.21,97.99,98.55,97.85,398285
2020-02-07,98.36,98.06,98.47,97.86,425492
2020-02-10,98.24,98.81,98.88,97.89,266689
2020-02-11,98.68,98.61,99.33,98.45,314817
2020-02-12,98.32,98.65,98.82,98.14,258518
2020-02-13,98.76,100.22,100.22,98.71,282441
2020-02-14,100.4,100.43,100.74,99.9,279160
2020-02-17,100.4,100.43,100.74,99.9,279160
2020-02-18,100.72,101.81,102.14,100.53,350564
2020-02-19,101.66,101.54,101.86,101.14,332177
2020-02-20,101.16,101.09,101.73,101.07,512054
2020-02-21,100.71,103.6,105.45,100.55,1055370
2020-02-24,103.31,100.94,103.31,100.94,491340
2020-02-25,100.94,98.4,101.16,98.34,420542
2020-02-26,98.76,97.2,99.24,97.16,483671
2020-02-27,96.78,93.61,97.58,93.54,676190
2020-02-28,91.38,89.49,91.77,88.61,814821
2020-03-02,90,94.91,94.99,89.6,703897
2020-03-03,94.69,94.49,97.49,94.12,523388
2020-03-04,95.68,100.26,100.69,95.68,523401
2020-03-05,98.39,99.67,100.33,98.16,395345
2020-03-06,96.96,99.31,99.7,95.41,393129
2020-03-09,94.5,95.37,97.94,93.16,437250
2020-03-10,96.39,96.19,98.24,92.31,442797
2020-03-11,94.11,89.55,94.11,88.19,553128
2020-03-12,81.51,80.1,83.43,77.83,586529
2020-03-13,83.95,81.57,83.97,76.94,554844
2020-03-16,75.5,68.11,78.01,67.66,416096
2020-03-17,69.97,74.83,74.98,67.49,608534
2020-03-18,70.5,65.57,70.68,60.05,879341
2020-03-19,65.26,68.36,72.16,61.86,607121
2020-03-20,69.25,65.55,71.97,65.38,1007572
2020-03-23,64.01,62.91,66.23,61.32,372160
2020-03-24,65.7,71.04,71.75,65.15,423456
2020-03-25,70.81,72.66,75.79,68.19,341498
2020-03-26,72.86,79.34,80.29,72.39,394356
2020-03-27,76.26,77.63,79.93,75.45,402913
2020-03-30,78.44,78.36,80.14,76.66,277409
2020-03-31,77.34,75.79,78.88,75.57,439596
2020-04-01,72.56,70.84,74.12,69.22,353833
2020-04-02,69.83,71.77,74.37,69.83,367517
2020-04-03,70.93,68.19,72.06,67.425,376424
2020-04-06,71.72,74.33,76.39,70.95,363533
2020-04-07,77.15,73.6,77.15,72.87,412323
2020-04-08,73.68,78.87,79.88,73.6,355745
2020-04-09,80.29,82.23,84.3,79.89,350458
2020-04-10,80.29,82.23,84.3,79.89,350458
2020-04-13,81.1,79.61,81.13,78.09,327757
2020-04-14,81.03,81.83,82.02,79.95,238481
2020-04-15,79.01,79.66,80.56,78.47,277386
2020-04-16,79.88,79.01,80.34,78.02,303517
2020-04-17,80.59,79.91,81.75,78.73,578486
2020-04-20,79.65,76.6,79.65,76.16,204393
2020-04-21,75.15,75.61,76.08,74.14,250525
2020-04-22,76.78,77.58,78.21,75.71,241900
2020-04-23,77.64,75.82,78.12,75.7,229782
2020-04-24,76.25,77.14,77.39,75.08,385693
2020-04-27,77.95,78.76,79.54,77.55,231674
2020-04-28,80.87,79.99,80.87,79.16,320632
2020-04-29,81.5,78.55,81.52,78.31,394747
2020-04-30,77.78,76.99,77.78,75.5,407275
2020-05-01,75.48,74.12,75.48,72.99,326318
2020-05-04,74,73.65,74.08,72.78,291057
2020-05-05,74.04,74.64,75.73,73.82,248286
2020-05-06,74.97,72.01,74.98,71.71,223359
2020-05-07,72.94,71.76,73.86,71.67,403962
2020-05-08,74.32,73.87,74.49,72.73,264577
2020-05-11,73,73.65,73.9,71.94,303413
2020-05-12,74.5,72.48,74.5,72.33,369919
2020-05-13,71.96,72.46,72.64,70.93,361479
2020-05-14,71.59,72.02,72.61,70.2,325042
2020-05-15,71.23,71.42,71.76,69.58,1815597
2020-05-18,73.69,74.86,75.48,73.39,299574
2020-05-19,74.63,72.59,74.63,72.56,192596
2020-05-20,72.92,72.77,73.03,71.77,268243
2020-05-21,72.61,72.28,73.31,72.15,228485
2020-05-22,72.2,72.66,72.74,71.5,208992
2020-05-25,72.2,72.66,72.74,71.5,208992
2020-05-26,74.38,74.34,75.395,73.84,323162
2020-05-27,75.63,75.5,75.72,73.82,357612
2020-05-28,76.85,76.85,77.38,75.78,460739
2020-05-29,76.42,77.9,78.61,75.6,3029447
2020-06-01,77.9,77.58,78.02,76.71,415447
2020-06-02,78.11,78.16,78.69,77.7,289062
2020-06-03,79.11,78.97,80.05,78.91,215405
2020-06-04,78.58,77.83,78.58,76.8,247518
2020-06-05,79.22,79.38,81.05,79.22,296648
2020-06-08,79.6,82.04,82.28,79.37,378519
2020-06-09,81.14,80.11,81.14,78.07,288714
2020-06-10,79.9,78.13,80.03,77.82,248710
2020-06-11,76.47,74.7,76.99,73.99,366384
2020-06-12,76.54,75.6,76.54,74.6,297240
2020-06-15,75.44,77.09,77.58,74.44,318002
2020-06-16,79.04,77.23,79.59,76.82,324374
2020-06-17,77.68,76.25,77.68,75.96,235714
2020-06-18,76.29,76.65,77.46,76.07,298920
2020-06-19,77.55,73.5,77.61,73.43,1463472
2020-06-22,73.59,73.28,74.4,72.82,439408
2020-06-23,73.91,72.24,73.93,71.96,331315
2020-06-24,71.53,71.62,72.31,71.01,386870
2020-06-25,71.35,71.36,71.42,70.36,273978
2020-06-26,71.2,71.05,72.22,69.97,561852
2020-06-29,71.81,72.96,72.96,71.01,180763
2020-06-30,72.85,73.29,73.58,72.33,385643
2020-07-01,73.52,75.39,75.72,73.52,263105
2020-07-02,75.89,76.03,77.1,75.54,300796
2020-07-03,75.89,76.03,77.1,75.54,300796
2020-07-06,76.73,76.8,77.39,75.945,251864
2020-07-07,75.88,76,76.68,75.54,375982
2020-07-08,76,76.72,76.88,75.72,203234
2020-07-09,76.48,76.25,76.69,75.12,165949
2020-07-10,76.08,78.26,78.38,76.08,189377
2020-07-13,78.32,78.91,79.59,78.26,245234
2020-07-14,78.87,79.62,79.985,78.87,237702
2020-07-15,80.73,79.88,80.9,79.48,286187
2020-07-16,80,80.56,80.76,79.98,200476
2020-07-17,81.25,82.53,82.6,81.13,205625
2020-07-20,82.32,80.78,82.45,80.63,355112
2020-07-21,80.85,80.92,81.66,80.53,228430
2020-07-22,80.45,82.98,83.06,79.86,186763
2020-07-23,82.9,82.31,83.28,81.92,201269
2020-07-24,82.65,81.38,83.1,81.04,212435
2020-07-27,81.3,80.28,81.33,79.11,154466
2020-07-28,79.96,81.23,81.58,79.96,194536
2020-07-29,81.24,82.09,82.35,80.74,204444
2020-07-30,81.17,82.7,83.37,80.48,278128
2020-07-31,81.12,83.08,83.26,80.96,744907
2020-08-03,82.99,81.99,82.99,80.68,259924
2020-08-04,81.54,81.59,81.83,80.74,430953
2020-08-05,81.7,79.74,81.7,79.26,228946
2020-08-06,79.76,80.79,81.58,79,236805
2020-08-07,80.5,82.16,82.52,80.5,258811
2020-08-10,82.61,82.58,82.91,81.97,158314
2020-08-11,82.9,80.77,83.39,80.68,332739
2020-08-12,81.16,80.43,81.42,80.32,232957
2020-08-13,80.08,78.49,80.08,77.44,250083
2020-08-14,78.48,78,78.68,77.78,219273
2020-08-17,77.87,76.4,78.17,76.26,349629
2020-08-18,76.52,75.75,76.73,74.95,474609
2020-08-19,76.06,76.02,76.27,75.11,183942
2020-08-20,75.75,74.97,75.88,74.74,161034
2020-08-21,75.06,74.26,75.15,73.75,245546
2020-08-24,74.39,75.15,75.36,73.49,167305
2020-08-25,75.33,74.47,75.33,74.05,156692
2020-08-26,74.12,72.82,74.12,72.39,190537
2020-08-27,73.01,73.23,73.54,72.3,136233
2020-08-28,73.59,73.48,73.63,72.83,144787
2020-08-31,73.23,73.35,73.95,72.99,335345
2020-09-01,73.04,71.54,73.04,71.27,289020
2020-09-02,71.54,73.92,74.42,71.5,208047
2020-09-03,74.45,72.97,74.74,72.3,245488
2020-09-04,73.12,72.4,73.25,71.49,247130
2020-09-07,73.12,72.4,73.25,71.49,247130
2020-09-08,72.5,73.18,73.56,71.48,244617
2020-09-09,72.99,72.63,74.07,72.52,199889
2020-09-10,72.57,71.39,72.65,71.13,237040
2020-09-11,71.69,70.9,71.69,70.5,135495
2020-09-14,71.1,72.09,72.56,71.1,277738
2020-09-15,72.35,72.02,73.22,71.67,243613
2020-09-16,72,72.3,73.01,71.9,241850
2020-09-17,72.05,72.16,72.45,71.35,329558
2020-09-18,71.7,70.43,72.26,70.41,817654
2020-09-21,70,70.81,71.54,69.29,328052
2020-09-22,70.69,71.83,72.4,70.69,266715
2020-09-23,71.86,70.93,72.36,70.91,285444
2020-09-24,71,72.76,73.04,70.4,263964
2020-09-25,72.29,73.77,73.9,72,201187
2020-09-28,74.17,73.89,74.85,73.68,231770
2020-09-29,73.82,73.45,74.65,73.4,157826
2020-09-30,74.16,74.55,75.2,73.77,412869
2020-10-01,74.97,75.32,75.85,74.4,249538
2020-10-02,74.37,77.86,78.08,74.18,200090
2020-10-05,77.92,79.64,80.34,77.72,255765
2020-10-06,80.01,81.12,82.52,79.4,267445
2020-10-07,81.67,82.95,83.39,81.23,390313
2020-10-08,82.88,83.54,84.08,82.85,244973
2020-10-09,84.07,82.56,84.2,82.15,248552
2020-10-12,81.65,81.56,82.09,81.13,275688
2020-10-13,81.32,80.73,81.32,79.47,281467
2020-10-14,80.96,80.26,81.3,80.15,228346
2020-10-15,79.55,80.88,81.44,79.44,183330
2020-10-16,80.93,81.07,81.85,80.4,278468
2020-10-19,81.41,81.81,82.13,81.41,220887
2020-10-20,82.27,82.33,82.62,81.6,146935
2020-10-21,82.29,83.69,84.17,82.05,244530
2020-10-22,83.66,85.73,85.905,82.78,314156
2020-10-23,86.67,86.73,87.02,85.79,319159
2020-10-26,86.26,86.51,86.86,85.35,182917
2020-10-27,86.32,85.86,87.09,85.85,224358
2020-10-28,84.81,82.77,85.57,82.47,637388
2020-10-29,82.21,83.26,83.93,81,258695
2020-10-30,82.5,81.57,83.32,80.21,678304
2020-11-02,82.08,81.07,82.08,80.2,289160
2020-11-03,82.12,81.76,82.64,80.95,255685
2020-11-04,81.18,82.2,85,81.18,226595
2020-11-05,82.95,84.48,85.69,82.87,263738
2020-11-06,84.25,83.79,85.51,83.68,200737
2020-11-09,89,87.94,89.85,87.4,404729
2020-11-10,88.26,90.9,91.02,88.26,362978
2020-11-11,90.75,89.59,91.87,89.5,276562
2020-11-12,89.38,87.84,89.63,86.74,288357
2020-11-13,88.33,89.46,89.98,88.33,189655
2020-11-16,91.01,90.44,91.28,89.73,257000
2020-11-17,89.6,86.78,90,86.72,419906
2020-11-18,87.43,84.72,88.14,84.52,269499
2020-11-19,84.78,83.55,84.93,83.33,240325
2020-11-20,83.34,83.25,84.49,83.2,212101
2020-11-23,83.39,84.48,84.73,83.35,239519
2020-11-24,85.01,85.78,86.2,84.76,203916
2020-11-25,85.55,86.52,86.71,84.93,266189
2020-11-26,85.55,86.52,86.71,84.93,266189
2020-11-27,86.34,83.94,86.34,83.63,86421
2020-11-30,84,81.85,84.08,81.39,651629
2020-12-01,82.7,82.35,83.16,82.23,241327
2020-12-02,81.95,82.89,83.1,81.13,215074
2020-12-03,82.89,81.4,82.89,81.27,159179
2020-12-04,81.5,82.41,82.7,81.36,291220
2020-12-07,82.04,82.58,83.28,81.61,190554
2020-12-08,82.03,81.82,82.78,81.58,155015
2020-12-09,81.83,81.33,81.93,80.59,267578
2020-12-10,81.49,80.74,81.58,80.58,282956
2020-12-11,80.58,79.72,80.82,79.69,239131
2020-12-14,80.62,79.14,81.15,78.91,365970
2020-12-15,79.45,80.03,80.48,78.83,340154
2020-12-16,80.38,78.65,80.7,78.62,206399
2020-12-17,78.8,79.32,80.13,78.8,230078
2020-12-18,79.24,78.65,79.66,78.22,806979
2020-12-21,78,77.29,78.05,76.48,293051
2020-12-22,77.14,77.78,78.165,76.15,218851
2020-12-23,78.39,77.4,79.29,77.35,172029
2020-12-24,77.42,77.87,78.02,76.82,90105
2020-12-25,77.42,77.87,78.02,76.82,90105
2020-12-28,78.18,78.43,79.12,77.84,102521
2020-12-29,78.43,79.07,79.3,78.43,219110
2020-12-30,78.85,79.11,79.54,78.75,203582
2020-12-31,79.05,79.95,80.03,78.85,254377